date,hour,grid_zone,utilization_rate,pred_utilization,dynamic_tariff_inr,revenue_static,revenue_dyn_adj
2022-07-07,9,781,0.5499999999999999,0.48898521929527244,15.0,4996.923611499999,4996.923611499999
2022-07-07,10,781,0.5357142857142857,0.536837017145186,15.0,4924.03125,4924.03125
2022-07-07,11,781,0.5,0.5180221571648798,15.0,4826.809027625,4826.809027625
2022-07-07,12,781,0.5476190476190476,0.489976236027541,15.0,7026.041666250001,7026.041666250001
2022-07-07,13,781,0.519047619047619,0.5322141340940695,15.0,6691.916666625001,6691.916666625001
2022-07-07,14,781,0.4595238095238095,0.49045287963725104,15.0,3080.5277778249997,3080.5277778249997
2022-07-07,15,781,0.4238095238095238,0.42863389170323213,15.0,1103.3993055249998,1103.3993055249998
2022-07-07,16,781,0.32857142857142857,0.39983000258321144,15.0,1006.7118055750001,1006.7118055750001
2022-07-07,17,781,0.3595238095238095,0.3162015880285443,15.0,2091.6666666250003,2091.6666666250003
2022-07-07,18,781,0.3333333333333333,0.3616923701285441,15.0,1390.0347222500002,1390.0347222500002
2022-07-07,19,781,0.3333333333333333,0.3314072788592813,15.0,2417.5312501125,2417.5312501125
2022-07-07,20,781,0.3261904761904762,0.33153080274270896,15.0,3334.649305375,3334.649305375
2022-07-07,21,781,0.30238095238095236,0.31763930044534344,15.0,916.4652778125002,916.4652778125002
2022-07-07,22,781,0.2619047619047619,0.2961459475307252,14.961459475307253,809.0347222500001,807.992697676864
2022-07-07,23,781,0.24523809523809523,0.25789086623441226,14.578908662344123,748.562500025,737.7604304509842
2022-07-08,0,781,0.26904761904761904,0.24995875300346335,14.499587530034633,1512.5000000000002,1486.4292065989207
2022-07-08,1,781,0.2857142857142857,0.28614993120919313,14.861499312091931,2662.5,2650.094567841566
2022-07-08,2,781,0.2976190476190476,0.29657670616870124,14.965767061687012,3391.6666666250003,3387.7876101567986
2022-07-08,3,781,0.3142857142857143,0.30651607711113676,15.0,4537.5,4537.5
2022-07-08,4,781,0.3142857142857143,0.3233679797902538,15.0,4537.5,4537.5
2022-07-08,5,781,0.3142857142857143,0.32092793155736454,15.0,4537.5,4537.5
2022-07-08,6,781,0.3142857142857143,0.32049444555675255,15.0,4537.5,4537.5
2022-07-08,7,781,0.3142857142857143,0.3071005732329541,15.0,4532.541666625,4532.541666625
2022-07-08,8,781,0.37142857142857144,0.309968663422434,15.0,5138.68402775,5138.68402775
2022-07-08,9,781,0.44285714285714284,0.39497938731552434,15.0,4921.649305624999,4921.649305624999
2022-07-08,10,781,0.4380952380952381,0.43924561320459926,15.0,4918.999999875001,4918.999999875001
2022-07-08,11,781,0.4261904761904762,0.4294848666863086,15.0,5501.76388875,5501.76388875
2022-07-08,12,781,0.44047619047619047,0.4366203534216197,15.0,7061.482638875001,7061.482638875001
2022-07-08,13,781,0.4000000000000001,0.44245104919810857,15.0,6590.465278249999,6590.465278249999
2022-07-08,14,781,0.38571428571428573,0.3804746204792706,15.0,6943.454861000001,6943.454861000001
2022-07-08,15,781,0.4000000000000001,0.37891539913841527,15.0,7530.9027777500005,7530.9027777500005
2022-07-08,16,781,0.38095238095238093,0.38092025711872063,15.0,5489.743055374999,5489.743055374999
2022-07-08,17,781,0.3357142857142857,0.37470336224684037,15.0,1872.3958335250002,1872.3958335250002
2022-07-08,18,781,0.30476190476190473,0.3171430361817329,15.0,1020.2847221624999,1020.2847221624999
2022-07-08,19,781,0.4071428571428572,0.29850661743477785,14.985066174347779,4229.465277625,4227.357778274739
2022-07-08,20,781,0.3642857142857143,0.42205862780821757,15.0,1186.704861075,1186.704861075
2022-07-08,21,781,0.3738095238095238,0.3468885007719356,15.0,1142.4097221749998,1142.4097221749998
2022-07-08,22,781,0.42142857142857143,0.36324711598910897,15.0,1278.6180555375001,1278.6180555375001
2022-07-08,23,781,0.5285714285714286,0.4139500350032426,15.0,3731.1006946124994,3731.1006946124994
2022-07-09,0,781,0.5595238095238094,0.523940426861655,15.0,4905.729166625,4905.729166625
2022-07-09,1,781,0.5666666666666667,0.5206471218816523,15.0,4642.1875,4642.1875
2022-07-09,2,781,0.5714285714285714,0.5179508376773674,15.0,5325.0,5325.0
2022-07-09,3,781,0.5714285714285714,0.5225627597980904,15.0,5325.0,5325.0
2022-07-09,4,781,0.5714285714285714,0.522926290259984,15.0,5325.0,5325.0
2022-07-09,5,781,0.5714285714285714,0.5271642254769006,15.0,5325.0,5325.0
2022-07-09,6,781,0.5714285714285714,0.5271642254769006,15.0,5325.0,5325.0
2022-07-09,7,781,0.5619047619047618,0.4980613458121434,15.0,5298.288194625,5298.288194625
2022-07-09,8,781,0.519047619047619,0.5202407509820816,15.0,5178.729167125,5178.729167125
2022-07-09,9,781,0.3976190476190476,0.494600620715604,15.0,4810.038194125,4810.038194125
2022-07-09,10,781,0.40952380952380957,0.35660918968497846,15.0,4771.052083125,4771.052083125
2022-07-09,11,781,0.4976190476190476,0.4135072459242322,15.0,6351.430555749999,6351.430555749999
2022-07-09,12,781,0.4857142857142857,0.5007327853882959,15.0,6850.000000500001,6850.000000500001
2022-07-09,13,781,0.4619047619047619,0.46608273641542924,15.0,5339.583333749999,5339.583333749999
2022-07-09,14,781,0.35000000000000003,0.42531687905434806,15.0,4657.3506945,4657.3506945
2022-07-09,15,781,0.28809523809523807,0.3171794821047849,15.0,1581.2499998625,1581.2499998625
2022-07-09,16,781,0.2476190476190476,0.2690003405491366,14.690003405491366,860.4756944625001,851.4004546368382
2022-07-09,17,781,0.2785714285714285,0.23782776561229502,14.37827765612295,2628.375000125,2571.646643304218
2022-07-09,18,781,0.2642857142857143,0.2803753374884545,14.803753374884545,2200.5173612625003,2185.9342289666183
2022-07-09,19,781,0.23571428571428568,0.2679833478528408,14.679833478528408,2445.56249975,2418.9058444626007
2022-07-09,20,781,0.25476190476190474,0.23674388525774162,14.367438852577417,4187.4999995,4095.4815405234863
2022-07-09,21,781,0.1880952380952381,0.263785413080023,14.63785413080023,928.8958332500001,917.4119195182177
2022-07-09,22,781,0.19285714285714287,0.18995590680514274,13.899559068051428,588.3159721874999,565.152554881902
2022-07-09,23,781,0.2571428571428571,0.2194854234999341,14.19485423499934,779.1875,757.1530364583356
2022-07-10,0,781,0.2857142857142857,0.2855071274535029,14.855071274535028,874.99999995,870.732070360778
2022-07-10,1,781,0.3261904761904762,0.30492771747005504,15.0,1635.2118057125,1635.2118057125
2022-07-10,2,781,0.34761904761904766,0.3353008088154247,15.0,3203.1250005,3203.1250005
2022-07-10,3,781,0.35714285714285715,0.36170149961926223,15.0,3723.9583337500003,3723.9583337500003
2022-07-10,4,781,0.37142857142857144,0.36704644888747134,15.0,4712.5000005,4712.5000005
2022-07-10,5,781,0.37142857142857144,0.3833897173713333,15.0,4712.5000005,4712.5000005
2022-07-10,6,781,0.37142857142857144,0.3826091281920905,15.0,4712.5000005,4712.5000005
2022-07-10,7,781,0.3738095238095238,0.37058728149392683,15.0,4717.21527825,4717.21527825
2022-07-10,8,781,0.4047619047619048,0.36937155765214785,15.0,6256.277778,6256.277778
2022-07-10,9,781,0.3357142857142857,0.40651032207410853,15.0,4954.4652776249995,4954.4652776249995
2022-07-10,10,781,0.3142857142857143,0.31589435270127536,15.0,4537.5,4537.5
2022-07-10,11,781,0.33095238095238094,0.3133983234822456,15.0,4581.3229165,4581.3229165
2022-07-10,12,781,0.3333333333333333,0.3459326200348358,15.0,4594.39930525,4594.39930525
2022-07-10,13,781,0.32142857142857145,0.3365669193289243,15.0,4556.993055499999,4556.993055499999
2022-07-10,14,781,0.26904761904761904,0.3156943899192372,15.0,3320.2118055375004,3320.2118055375004
2022-07-10,15,781,0.19285714285714287,0.2414353788478995,14.414353788478996,581.07291665,569.2865954595802
2022-07-10,16,781,0.2857142857142857,0.1877329629158981,13.877329629158982,1416.4895832250002,1359.5138258095678
2022-07-10,17,781,0.3642857142857143,0.27988593574839254,14.798859357483925,5542.90625,5505.24445373452
2022-07-10,18,781,0.36904761904761907,0.34231966679132936,15.0,4663.048611374999,4663.048611374999
2022-07-10,19,781,0.4071428571428572,0.35172123829076013,15.0,5714.833333375,5714.833333375
2022-07-10,20,781,0.4261904761904762,0.3952650802302718,15.0,7442.017361374999,7442.017361374999
2022-07-10,21,781,0.3452380952380953,0.41094220475717186,15.0,3042.70833375,3042.70833375
2022-07-10,22,781,0.3523809523809524,0.3112910312365347,15.0,2864.211805875,2864.211805875
2022-07-10,23,781,0.3952380952380952,0.3484228939498954,15.0,3684.8402776249995,3684.8402776249995
2022-07-11,0,781,0.44999999999999996,0.4016679342939034,15.0,6557.812499625,6557.812499625
2022-07-11,1,781,0.46428571428571425,0.45135660630527846,15.0,7233.333332875,7233.333332875
2022-07-11,2,781,0.43333333333333335,0.45721162482045496,15.0,5254.687499625001,5254.687499625001
2022-07-11,3,781,0.42857142857142855,0.4227283120724698,15.0,4887.499999500001,4887.499999500001
2022-07-11,4,781,0.42857142857142855,0.4282184754411353,15.0,4887.499999500001,4887.499999500001
2022-07-11,5,781,0.42857142857142855,0.4320291801171163,15.0,4887.499999500001,4887.499999500001
2022-07-11,6,781,0.42857142857142855,0.4320291801171163,15.0,4887.499999500001,4887.499999500001
2022-07-11,7,781,0.39999999999999997,0.40897197766928284,15.0,4804.618055499999,4804.618055499999
2022-07-11,8,781,0.3976190476190476,0.3684262222448928,15.0,4781.965277875,4781.965277875
2022-07-11,9,781,0.48095238095238096,0.3770343431186245,15.0,5045.53472225,5045.53472225
2022-07-11,10,781,0.4785714285714286,0.4538043465040445,15.0,5040.722222375,5040.722222375
2022-07-11,11,781,0.4761904761904762,0.4589568059736123,15.0,5727.8784725,5727.8784725
2022-07-11,12,781,0.4880952380952381,0.459744622114835,15.0,6859.673611374999,6859.673611374999
2022-07-11,13,781,0.46428571428571425,0.4660519063284014,15.0,5790.302083625001,5790.302083625001
2022-07-11,14,781,0.42142857142857143,0.4182639380287783,15.0,3431.670139,3431.670139
